,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
66,LSTM,4,raw seq,0.9436036993522573,0.9834943639291466,0.9575871819038643,0.9898477157360406,0.9048723897911833,0.9454545454545454,0.96045197740113,1.0,0.9078947368421053,0.9517241379310345
67,LSTM,4,emb,0.4113282935929744,0.554549114331723,0.6286522148916117,0.0,0.0,0.0,0.6101694915254238,0.0,0.0,0.0
68,CNN,4,raw seq,0.9887697602803076,0.9931561996779389,0.9688972667295005,0.9695431472081218,0.9478908188585607,0.9585947302383939,0.9661016949152542,0.9710144927536232,0.9436619718309859,0.9571428571428571
69,CNN,4,emb,0.4366237427554729,0.5889023081052066,0.6286522148916117,0.0,0.0,0.0,0.6101694915254238,0.0,0.0,0.0
70,SVM,5,raw seq,0.9956784331187168,0.9974219810040706,0.9952874646559849,0.9974747474747475,0.9899749373433584,0.9937106918238994,0.9661016949152542,0.9850746268656716,0.9295774647887324,0.9565217391304348
71,SVM,5,emb,0.48275385002812843,0.6508819538670285,0.7229029217719133,0.6363636363636364,0.6268656716417911,0.6315789473684211,0.6836158192090396,0.5671641791044776,0.5846153846153846,0.5757575757575757
72,Logistic Regression,5,raw seq,0.9977171060710088,0.9986431478968792,1.0,1.0,1.0,1.0,0.9830508474576272,0.9850746268656716,0.9705882352941176,0.9777777777777777
73,Logistic Regression,5,emb,0.5390173645651051,0.6616010854816824,0.7822808671065034,0.8131313131313131,0.6722338204592901,0.736,0.672316384180791,0.6567164179104478,0.5569620253164557,0.6027397260273972
74,Decision Tree,5,raw seq,0.9617515612366879,0.9834464043419266,1.0,1.0,1.0,1.0,0.9830508474576272,0.9850746268656716,0.9705882352941176,0.9777777777777777
75,Decision Tree,5,emb,0.4260800171247606,0.5735413839891452,0.825636192271442,0.8282828282828283,0.7370786516853932,0.7800237812128419,0.5988700564971752,0.4925373134328358,0.4714285714285714,0.4817518248175182
76,Random Forest,5,raw seq,0.9976311007915651,0.9985074626865671,0.9971724787935909,1.0,0.9924812030075187,0.9962264150943396,0.9717514124293786,1.0,0.9305555555555556,0.9640287769784173
77,Random Forest,5,emb,0.5320037597431733,0.6997286295793758,0.7898209236569275,0.7121212121212122,0.7212276214833759,0.7166454891994917,0.7062146892655368,0.5970149253731343,0.6153846153846154,0.606060606060606
78,Baseline,5,raw seq,0.3785310734463277,0.5,0.37323279924599434,1.0,0.37323279924599434,0.543582704186685,0.3785310734463277,1.0,0.3785310734463277,0.5491803278688525
79,Baseline,5,emb,0.3785310734463277,0.5,0.37323279924599434,1.0,0.37323279924599434,0.543582704186685,0.3785310734463277,1.0,0.3785310734463277,0.5491803278688525
80,LSTM,5,raw seq,0.8892272710195973,0.9586160108548167,0.9519321394910462,0.9848484848484849,0.896551724137931,0.9386281588447654,0.9378531073446328,0.9850746268656716,0.868421052631579,0.923076923076923
81,LSTM,5,emb,0.3572762959842861,0.498236092265943,0.6267672007540056,0.0,0.0,0.0,0.6214689265536724,0.0,0.0,0.0
82,CNN,5,raw seq,0.9688621528517105,0.9833107191316146,0.9453345900094251,0.898989898989899,0.9518716577540107,0.9246753246753248,0.9265536723163842,0.8805970149253731,0.921875,0.9007633587786259
83,CNN,5,emb,0.3574646498107948,0.4994572591587517,0.6267672007540056,0.0,0.0,0.0,0.6214689265536724,0.0,0.0,0.0
84,SVM,6,raw seq,0.9992555831265508,0.9995755517826825,0.9943502824858758,0.9975062344139651,0.9876543209876543,0.9925558312655087,0.9829545454545454,1.0,0.9538461538461539,0.9763779527559054
85,SVM,6,emb,0.5205154276233237,0.6811686474250142,0.7269303201506592,0.6608478802992519,0.6324582338902148,0.6463414634146343,0.6647727272727273,0.5483870967741935,0.5230769230769231,0.5354330708661418
86,Logistic Regression,6,raw seq,0.9989714116954675,0.9994340690435767,1.0,1.0,1.0,1.0,0.9829545454545454,0.9838709677419355,0.9682539682539683,0.976
87,Logistic Regression,6,emb,0.5780326659786197,0.6774193548387097,0.7871939736346516,0.8229426433915212,0.6804123711340206,0.744920993227991,0.6590909090909091,0.6451612903225806,0.5128205128205128,0.5714285714285714
88,Decision Tree,6,raw seq,0.973683899347271,0.987549518958687,1.0,1.0,1.0,1.0,0.9886363636363636,0.9838709677419355,0.9838709677419355,0.9838709677419355
89,Decision Tree,6,emb,0.4521103938617069,0.6280418788907753,0.82015065913371,0.8379052369077307,0.7272727272727273,0.7786790266512167,0.6363636363636364,0.5483870967741935,0.4857142857142857,0.5151515151515151
90,Random Forest,6,raw seq,0.9990224828934505,0.9994340690435767,0.995291902071563,1.0,0.9876847290640394,0.9938042131350682,0.9772727272727273,1.0,0.9393939393939394,0.96875
91,Random Forest,6,emb,0.5080909078288732,0.6822297679683079,0.7928436911487758,0.71571072319202,0.7302798982188295,0.7229219143576827,0.6931818181818182,0.5806451612903226,0.5625,0.5714285714285715
92,Baseline,6,raw seq,0.3522727272727273,0.5,0.3775894538606403,1.0,0.3775894538606403,0.5481886534518113,0.3522727272727273,1.0,0.3522727272727273,0.5210084033613446
93,Baseline,6,emb,0.3522727272727273,0.5,0.3775894538606403,1.0,0.3775894538606403,0.5481886534518113,0.3522727272727273,1.0,0.3522727272727273,0.5210084033613446
94,LSTM,6,raw seq,0.8942512644565468,0.97354272778721,0.9764595103578154,0.9900249376558603,0.9497607655502392,0.9694749694749695,0.9602272727272727,1.0,0.8985507246376812,0.9465648854961832
95,LSTM,6,emb,0.3563180353712595,0.5111771363893606,0.6224105461393596,0.0,0.0,0.0,0.6477272727272727,0.0,0.0,0.0
96,CNN,6,raw seq,0.9784848726595146,0.9893887945670629,0.980225988700565,0.9850374064837906,0.9634146341463414,0.9741060419235511,0.9545454545454546,0.967741935483871,0.9090909090909091,0.9374999999999999
97,CNN,6,emb,0.35181203064043953,0.5121675155631014,0.6224105461393596,0.0,0.0,0.0,0.6477272727272727,0.0,0.0,0.0
