,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
37,Baseline,2,emb,0.2413793103448276,0.5,0.3840139009556907,1.0,0.3840139009556907,0.5549278091650973,0.2413793103448276,1.0,0.2413793103448276,0.3888888888888889
38,LSTM,2,raw seq,1.0,1.0,0.9782797567332754,0.9909502262443439,0.954248366013072,0.9722530521642619,1.0,1.0,1.0,1.0
39,LSTM,2,emb,0.23231052726384058,0.40728715728715725,0.6159860990443093,0.0,0.0,0.0,0.7586206896551724,0.0,0.0,0.0
40,CNN,2,raw seq,1.0,1.0,0.9687228496959166,0.9773755656108597,0.9432314410480349,0.96,1.0,1.0,1.0,1.0
41,CNN,2,emb,0.23216899370126873,0.40800865800865793,0.6159860990443093,0.0,0.0,0.0,0.7586206896551724,0.0,0.0,0.0
42,SVM,3,raw seq,1.0,1.0,0.992320819112628,0.9977116704805492,0.9819819819819819,0.9897843359818388,0.6060606060606061,0.0,0.0,0.0
43,SVM,3,emb,0.32975071596113803,0.39711538461538465,0.735494880546075,0.6796338672768879,0.6359743040685225,0.6570796460176992,0.45454545454545453,0.15384615384615385,0.2222222222222222,0.18181818181818185
44,Logistic Regression,3,raw seq,1.0,1.0,1.0,1.0,1.0,1.0,0.6060606060606061,0.0,0.0,0.0
45,Logistic Regression,3,emb,0.3375915084240402,0.42500000000000004,0.7790102389078498,0.7848970251716247,0.6751968503937008,0.7259259259259259,0.4090909090909091,0.46153846153846156,0.32432432432432434,0.38095238095238093
46,Decision Tree,3,raw seq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,Decision Tree,3,emb,0.3719371300016461,0.4451923076923076,0.8131399317406144,0.8215102974828375,0.718,0.7662753468516543,0.4696969696969697,0.4230769230769231,0.3548387096774194,0.3859649122807018
48,Random Forest,3,raw seq,1.0,1.0,0.9940273037542662,1.0,0.9842342342342343,0.9920544835414302,0.6060606060606061,0.0,0.0,0.0
49,Random Forest,3,emb,0.3831165231213951,0.510576923076923,0.78839590443686,0.6933638443935927,0.7266187050359713,0.7096018735362998,0.5151515151515151,0.23076923076923078,0.3333333333333333,0.27272727272727276
50,Baseline,3,raw seq,0.3939393939393939,0.5,0.3728668941979522,1.0,0.3728668941979522,0.5431945307644499,0.3939393939393939,1.0,0.3939393939393939,0.5652173913043478
51,Baseline,3,emb,0.3939393939393939,0.5,0.3728668941979522,1.0,0.3728668941979522,0.5431945307644499,0.3939393939393939,1.0,0.3939393939393939,0.5652173913043478
52,LSTM,3,raw seq,0.4245133656128197,0.5932692307692308,0.9581911262798635,0.9816933638443935,0.9127659574468086,0.945975744211687,0.5757575757575758,0.0,0.0,0.0
53,LSTM,3,emb,0.4554218269045095,0.5038461538461538,0.6271331058020477,0.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.0
54,CNN,3,raw seq,0.5152504380762565,0.7394230769230768,0.9778156996587031,0.9954233409610984,0.9477124183006536,0.9709821428571429,0.6060606060606061,0.0,0.0,0.0
55,CNN,3,emb,0.40173625676454777,0.4701923076923077,0.6271331058020477,0.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.0
