,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
72,Logistic Regression,5,raw seq,0.38011857770411955,0.6652777777777777,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0
73,Logistic Regression,5,emb,0.33380892067239454,0.5416666666666666,0.7779661016949152,0.7842696629213484,0.6776699029126214,0.7270833333333334,0.4827586206896552,0.2222222222222222,0.2,0.2105263157894737
74,Decision Tree,5,raw seq,0.29808429118773944,0.4555555555555556,1.0,1.0,1.0,1.0,0.5862068965517241,0.1111111111111111,0.2,0.14285714285714285
75,Decision Tree,5,emb,0.3128318881494925,0.46180555555555564,0.8084745762711865,0.8157303370786517,0.7159763313609467,0.7626050420168067,0.5,0.2777777777777778,0.23809523809523808,0.25641025641025644
76,Random Forest,5,raw seq,0.4503936233342363,0.6430555555555556,0.997457627118644,1.0,0.9933035714285714,0.9966405375139977,0.5,0.0,0.0,0.0
77,Random Forest,5,emb,0.3326814228875119,0.44583333333333336,0.785593220338983,0.701123595505618,0.7222222222222222,0.7115165336374002,0.5689655172413793,0.16666666666666666,0.23076923076923078,0.1935483870967742
78,Baseline,5,raw seq,0.3103448275862069,0.5,0.3771186440677966,1.0,0.3771186440677966,0.5476923076923076,0.3103448275862069,1.0,0.3103448275862069,0.4736842105263158
79,Baseline,5,emb,0.3103448275862069,0.5,0.3771186440677966,1.0,0.3771186440677966,0.5476923076923076,0.3103448275862069,1.0,0.3103448275862069,0.4736842105263158
80,LSTM,5,raw seq,0.41797251805894736,0.7041666666666667,0.9872881355932204,0.9932584269662922,0.973568281938326,0.9833147942157953,0.6896551724137931,0.6111111111111112,0.5,0.55
81,LSTM,5,emb,0.568816453664672,0.4916666666666667,0.6228813559322034,0.0,0.0,0.0,0.6896551724137931,0.0,0.0,0.0
82,CNN,5,raw seq,0.25763751024355575,0.3916666666666667,0.988135593220339,0.9910112359550561,0.9778270509977827,0.9843750000000001,0.41379310344827586,0.05555555555555555,0.05555555555555555,0.05555555555555555
83,CNN,5,emb,0.5702688864896539,0.4930555555555556,0.6228813559322034,0.0,0.0,0.0,0.6896551724137931,0.0,0.0,0.0
84,SVM,6,raw seq,0.8737541921705718,0.9465811965811967,0.9956559513466551,0.9975903614457832,0.9904306220095693,0.9939975990396158,0.8850574712643678,1.0,0.8275862068965517,0.9056603773584906
