,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
61,Decision Tree,4,emb,0.5003306157139198,0.6369204425711275,0.823751178133836,0.8282051282051283,0.7291196388261851,0.7755102040816326,0.615819209039548,0.4794520547945205,0.5384615384615384,0.5072463768115941
62,Random Forest,4,raw seq,0.9988812727448653,0.9992096944151739,0.9934024505183789,1.0,0.982367758186398,0.9911054637865311,0.9774011299435028,0.9726027397260274,0.9726027397260274,0.9726027397260274
63,Random Forest,4,emb,0.5879596978240741,0.6914515279241306,0.7945334590009425,0.7256410256410256,0.7182741116751269,0.7219387755102041,0.6666666666666666,0.5205479452054794,0.6129032258064516,0.5629629629629629
64,Baseline,4,raw seq,0.4124293785310734,0.5,0.36757775683317623,1.0,0.36757775683317623,0.5375603032391454,0.4124293785310734,1.0,0.4124293785310734,0.584
65,Baseline,4,emb,0.4124293785310734,0.5,0.36757775683317623,1.0,0.36757775683317623,0.5375603032391454,0.4124293785310734,1.0,0.4124293785310734,0.584
66,LSTM,4,raw seq,0.9890258505691738,0.9926238145416227,0.9783223374175306,0.9923076923076923,0.9508599508599509,0.9711417816813049,0.9661016949152542,0.9726027397260274,0.9466666666666667,0.9594594594594594
67,LSTM,4,emb,0.4042110270644364,0.46186775553213905,0.6324222431668237,0.0,0.0,0.0,0.5875706214689266,0.0,0.0,0.0
68,CNN,4,raw seq,0.9765609032085958,0.9869599578503687,0.9736098020735156,1.0,0.9330143540669856,0.9653465346534654,0.9548022598870056,0.9863013698630136,0.9113924050632911,0.9473684210526315
69,CNN,4,emb,0.4039637201742073,0.4613408851422551,0.6324222431668237,0.0,0.0,0.0,0.5875706214689266,0.0,0.0,0.0
70,SVM,5,raw seq,0.9989212617763201,0.9993254182406908,0.9943449575871819,1.0,0.9850374064837906,0.992462311557789,0.9887005649717514,0.9852941176470589,0.9852941176470589,0.9852941176470589
71,SVM,5,emb,0.5687070070580285,0.74561521856449,0.7125353440150801,0.6253164556962025,0.6113861386138614,0.6182728410513141,0.7231638418079096,0.6029411764705882,0.6507936507936508,0.6259541984732825
72,Logistic Regression,5,raw seq,0.9997868712702471,0.9998650836481382,1.0,1.0,1.0,1.0,0.9887005649717514,0.9705882352941176,1.0,0.9850746268656716
73,Logistic Regression,5,emb,0.5899610927237505,0.7244333513221803,0.7756833176248822,0.8177215189873418,0.6605316973415133,0.7307692307692307,0.7231638418079096,0.7352941176470589,0.6172839506172839,0.6711409395973154
74,Decision Tree,5,raw seq,0.9818876703223662,0.9852941176470589,1.0,1.0,1.0,1.0,0.9887005649717514,0.9705882352941176,1.0,0.9850746268656716
75,Decision Tree,5,emb,0.44119014251124195,0.577779276848354,0.822808671065033,0.8329113924050633,0.729490022172949,0.7777777777777778,0.5649717514124294,0.45588235294117646,0.43661971830985913,0.44604316546762585
76,Random Forest,5,raw seq,0.9991440781756074,0.9994603345925527,0.9943449575871819,1.0,0.9850374064837906,0.992462311557789,0.9887005649717514,0.9852941176470589,0.9852941176470589,0.9852941176470589
77,Random Forest,5,emb,0.596311059454763,0.7367107393416081,0.7926484448633365,0.6987341772151898,0.7320954907161804,0.7150259067357512,0.7288135593220338,0.6029411764705882,0.6612903225806451,0.6307692307692307
78,Baseline,5,raw seq,0.384180790960452,0.5,0.37229029217719134,1.0,0.37229029217719134,0.5425824175824175,0.384180790960452,1.0,0.384180790960452,0.5551020408163265
79,Baseline,5,emb,0.384180790960452,0.5,0.37229029217719134,1.0,0.37229029217719134,0.5425824175824175,0.384180790960452,1.0,0.384180790960452,0.5551020408163265
80,LSTM,5,raw seq,0.9782944569435349,0.9877226119805721,0.942507068803016,0.9367088607594937,0.9113300492610837,0.9238451935081149,0.9378531073446328,0.9411764705882353,0.9014084507042254,0.920863309352518
81,LSTM,5,emb,0.3451669900068681,0.47308418780356176,0.6277097078228087,0.0,0.0,0.0,0.615819209039548,0.0,0.0,0.0
82,CNN,5,raw seq,0.9371719789315076,0.9820561252023745,0.9736098020735156,0.9924050632911392,0.9400479616306955,0.9655172413793105,0.9774011299435028,1.0,0.9444444444444444,0.9714285714285714
83,CNN,5,emb,0.35466234906055905,0.4814490016189962,0.6277097078228087,0.0,0.0,0.0,0.615819209039548,0.0,0.0,0.0
84,SVM,6,raw seq,0.99968671679198,0.9998511904761905,0.9915254237288136,0.9975429975429976,0.9806763285024155,0.9890377588306942,0.9886363636363636,1.0,0.9655172413793104,0.9824561403508771
85,SVM,6,emb,0.5809705598783581,0.7869791666666666,0.7033898305084746,0.6093366093366094,0.6138613861386139,0.6115906288532675,0.7443181818181818,0.6785714285714286,0.5846153846153846,0.6280991735537191
86,Logistic Regression,6,raw seq,0.99968671679198,0.9998511904761905,1.0,1.0,1.0,1.0,0.9886363636363636,0.9821428571428571,0.9821428571428571,0.9821428571428571
87,Logistic Regression,6,emb,0.6305735151853492,0.765625,0.7721280602636534,0.8034398034398035,0.6687116564417178,0.7299107142857144,0.7386363636363636,0.7142857142857143,0.5714285714285714,0.634920634920635
88,Decision Tree,6,raw seq,0.9581168831168831,0.9779761904761906,1.0,1.0,1.0,1.0,0.9829545454545454,0.9642857142857143,0.9818181818181818,0.972972972972973
89,Decision Tree,6,emb,0.4413852471667962,0.642485119047619,0.8116760828625236,0.8402948402948403,0.7169811320754716,0.7737556561085972,0.6590909090909091,0.5714285714285714,0.47058823529411764,0.5161290322580646
90,Random Forest,6,raw seq,0.99968671679198,0.9998511904761905,0.992467043314501,1.0,0.980722891566265,0.9902676399026764,0.9886363636363636,1.0,0.9655172413793104,0.9824561403508771
91,Random Forest,6,emb,0.5768499882600264,0.7734375,0.7843691148775894,0.683046683046683,0.7354497354497355,0.70828025477707,0.7670454545454546,0.6428571428571429,0.631578947368421,0.6371681415929203
92,Baseline,6,raw seq,0.3181818181818182,0.5,0.3832391713747646,1.0,0.3832391713747646,0.5541184479237576,0.3181818181818182,1.0,0.3181818181818182,0.4827586206896552
93,Baseline,6,emb,0.3181818181818182,0.5,0.3832391713747646,1.0,0.3832391713747646,0.5541184479237576,0.3181818181818182,1.0,0.3181818181818182,0.4827586206896552
94,LSTM,6,raw seq,0.9962664999471973,0.9983630952380952,0.9595103578154426,0.9803439803439803,0.9193548387096774,0.9488703923900119,0.9829545454545454,1.0,0.9491525423728814,0.9739130434782608
95,LSTM,6,emb,0.34950432116507213,0.5819940476190476,0.6167608286252354,0.0,0.0,0.0,0.6818181818181818,0.0,0.0,0.0
96,CNN,6,raw seq,0.9977356744357047,0.9989583333333334,0.9736346516007532,0.9901719901719902,0.9437939110070258,0.9664268585131894,0.9829545454545454,1.0,0.9491525423728814,0.9739130434782608
97,CNN,6,emb,0.33742059924614864,0.5569196428571429,0.6167608286252354,0.0,0.0,0.0,0.6818181818181818,0.0,0.0,0.0
